blockNo,blockhash,ticket1,winningNumber1,ticket2,winningNumber2
3807279,48620,49092,4,42903,7
3807280,10438,45356,12,5786,10
3807281,60053,17133,13,62971,11
3807282,55145,52510,14,19038,14
3807283,40644,60077,13,31518,14
3807284,62948,32710,6,55981,13
3807285,24717,1556,4,19623,7
3807286,23322,48876,12,50095,15
3807287,64231,44441,9,21182,14
3807288,4103,32032,0,31423,15
3807289,45531,20387,3,61180,12
3807290,20353,63250,2,50964,4
3807291,12414,17972,4,7355,11
3807292,52427,21468,12,52981,5
3807293,37568,349,13,46817,1
3807294,44852,65491,3,56974,14
3807295,50616,41480,8,48332,12
3807296,38910,8669,13,25665,1
3807297,131,63584,0,4655,15
3807298,14120,5338,10,58254,14
3807299,30433,59600,0,62776,8
3807300,3593,13511,7,50441,9
3807301,13596,14062,14,62928,0
3807302,54653,34095,15,58079,15
3807303,769,41806,14,58788,4
3807304,12036,53269,5,55779,3
3807305,12754,57650,2,20231,7
3807306,29269,20682,10,38564,4
3807307,30207,20281,9,18452,4
3807308,30173,4741,5,54843,11
3807309,59618,4166,6,13232,0
3807310,29911,32003,3,29493,5
3807311,60378,11658,10,34321,1
3807312,23546,33029,5,5482,10
3807313,61927,13871,15,25799,7
3807314,48865,48298,10,53712,0
3807315,2038,15276,12,62187,11
3807316,47055,55831,7,892,12
3807317,61741,39878,6,28599,7
3807318,38613,54039,7,6257,1
3807319,5360,27990,6,53430,6
3807320,2121,15713,1,14384,0
3807321,49087,60762,10,25849,9
3807322,63405,18591,15,37001,9
3807323,7590,60935,7,688,0
3807324,43986,5096,8,47205,5
3807325,3626,57407,15,48541,13
3807326,30908,57827,3,59656,8
3807327,45075,20533,5,64332,12
3807328,57558,6587,11,2024,8
3807329,10473,31990,6,43237,5
3807330,37528,22473,9,40589,13
3807331,23586,30879,15,64858,10
3807332,54430,43075,3,3978,10
3807333,18346,44370,2,29857,1
3807334,52049,43115,11,16013,13
3807335,25505,56035,3,60070,6
3807336,18124,5213,13,61495,7
3807337,45725,9674,10,59900,12
3807338,170,44501,5,58455,7
3807339,65240,37112,8,40801,1
3807340,33010,16907,11,38635,11
3807341,11640,30013,13,26377,9
3807342,44237,7290,10,31060,4
3807343,6126,61856,0,65116,12
3807344,57332,49948,12,8216,8
3807345,62191,25597,13,14731,11
3807346,16790,36518,6,23909,5
3807347,5413,22703,15,25145,9
3807348,43615,51609,9,5074,2
3807349,40093,9168,0,585,9
3807350,27976,4030,14,23430,6
3807351,27803,5607,7,38115,3
3807352,28050,574,14,47101,13
3807353,22773,29677,13,64180,4
3807354,58871,45215,15,65470,14
3807355,29916,4557,13,35122,2
3807356,22028,9215,15,3346,2
3807357,50280,50090,10,5748,4
3807358,26825,9845,5,6463,15
3807359,6956,63642,10,9804,12
3807360,15486,50345,9,62015,15
3807361,58643,33200,0,43470,14
3807362,27282,576,0,21852,12
3807363,45600,28568,8,60555,11
3807364,60762,17101,13,57581,13
3807365,48087,58961,1,43955,3
3807366,51814,17826,2,2871,7
3807367,2968,50033,1,26446,14
3807368,32984,3382,6,23236,4
3807369,30229,14642,2,18853,5
3807370,35831,28234,10,52057,9
3807371,54478,60895,15,58276,4
3807372,63527,26141,13,18540,12
3807373,36995,7285,5,2484,4
3807374,11077,29930,10,61868,12
3807375,1124,27349,5,8197,5
3807376,15838,30209,1,12580,4
3807377,60844,11991,7,53880,8
3807378,23126,7818,10,22638,14
3807379,720,14649,9,38494,14
3807380,51108,11449,9,31500,12
3807381,46732,18140,12,20946,2
3807382,48276,18791,7,41124,4
3807383,24789,9366,6,20000,0
3807384,63637,26991,15,36315,11
3807385,27847,281,9,36371,3
3807386,25070,42888,8,36393,9
3807387,46229,1461,5,2583,7
3807388,459,19432,8,37050,10
3807389,27605,60868,4,62177,1
3807390,62416,41488,0,24723,3
3807391,29120,48181,5,64468,4
3807392,33582,33484,12,61235,3
3807393,48544,42190,14,63237,5
3807394,40455,14707,3,591,15
3807395,43920,32360,8,64726,6
3807396,27200,2441,9,56033,1
3807397,25350,25858,2,4881,1
3807398,13893,40151,7,56413,13
3807399,65093,51997,13,65334,6
3807400,20386,49077,5,15672,8
3807401,27748,17406,14,40730,10
3807402,34744,32846,14,20393,9
3807403,15801,46125,13,1004,12
3807404,30278,7160,8,57963,11
3807405,33073,44851,3,48571,11
3807406,3271,57552,0,63107,3
3807407,52546,332,12,59518,14
3807408,21542,40369,1,53748,4
3807409,63686,21101,13,10462,14
3807410,61696,40495,15,4410,10
3807411,32543,6825,9,31509,5
3807412,59478,58330,10,40610,2
3807413,25991,4372,4,5467,11
3807414,46368,26088,8,23589,5
3807415,22799,14987,11,64008,8
3807416,20385,10935,7,31107,3
3807417,5871,62858,10,42744,8
3807418,2662,53736,8,15329,1
3807419,18064,42906,10,36247,7
3807420,9608,55850,10,20075,11
3807421,21897,4465,1,27391,15
3807422,27479,32213,5,49882,10
3807423,6994,64834,2,37080,8
3807424,34401,34893,13,5702,6
3807425,1632,8181,5,22432,0
3807426,32915,29979,11,16768,0
3807427,48281,27580,12,46352,0
3807428,41466,6093,13,48001,1
3807429,42640,28179,3,54262,6
3807430,18821,43456,0,46900,4
3807431,42582,62211,3,11635,3
3807432,14054,23561,9,43480,8
3807433,35624,34396,12,11050,10
3807434,32647,48429,13,9655,7
3807435,19552,53875,3,48504,8
3807436,44058,55594,10,9091,3
3807437,63632,42186,10,13412,4
3807438,23518,8740,4,4938,10
3807439,31113,43650,2,13389,13
3807440,50116,2878,14,64406,6
3807441,7592,25335,7,38234,10
3807442,17092,12262,6,53547,11
3807443,38574,47796,4,37299,3
3807444,9759,47444,4,18712,8
3807445,3801,33946,10,16016,0
3807446,15765,64407,7,59895,7
3807447,24329,50255,15,15753,9
3807448,14585,45200,0,47090,2
3807449,58555,7007,15,39776,0
3807450,51545,41468,12,11268,4
3807451,20737,12484,4,515,3
3807452,52581,6208,0,61847,7
3807453,45448,35778,2,60990,14
3807454,58503,43378,2,39801,9
3807455,7287,41554,2,48099,3
3807456,59942,44430,14,22588,12
3807457,12693,59908,4,27838,14
3807458,27016,63860,4,26032,0
3807459,25796,40937,9,58185,9
3807460,38463,4321,1,58090,10
3807461,23627,9724,12,8449,1
3807462,63599,57872,0,16611,3
3807463,53469,23019,11,49253,5
3807464,30514,44806,6,10150,6
3807465,61435,46741,5,64467,3
3807466,56678,21085,13,16345,9
3807467,36943,35894,6,65434,10
3807468,32156,22907,11,27197,13
3807469,45967,49073,1,2388,4
3807470,9420,49360,0,55281,1
3807471,30570,37757,13,23443,3
3807472,51571,53023,15,3384,8
3807473,11552,22675,3,42097,1
3807474,23804,52007,7,9778,2
3807475,2907,53276,12,11882,10
3807476,9712,1513,9,53818,10
3807477,719,64639,15,26213,5
3807478,3969,35354,10,28808,8
3807479,2595,10546,2,49615,15
3807480,59384,18592,0,14590,14
3807481,5029,45225,9,35363,3
3807482,26014,8798,14,32877,13
3807483,35727,13568,0,37228,12
3807484,48204,6687,15,16229,5
3807485,33029,41567,15,12878,14
3807486,8790,36822,6,11030,6
3807487,3440,39922,2,61631,15
3807488,6502,29777,1,33705,9
3807489,13380,10323,3,15702,6
3807490,65025,30063,15,25488,0
3807491,52298,15544,8,46902,6
3807492,3855,9078,6,55908,4
3807493,26966,33586,2,6906,10
3807494,56599,9178,10,33554,2
3807495,9620,11393,1,11555,3
3807496,43972,19316,4,17106,2
3807497,55714,47533,13,33526,6
3807498,12016,30360,8,40831,15
3807499,47065,17839,15,50674,2
3807500,34755,18612,4,60425,9
3807501,58616,54618,10,45406,14
3807502,52449,12536,8,58258,2
3807503,49575,8471,7,63475,3
3807504,56818,63450,10,3735,7
3807505,37836,24527,15,39234,2
3807506,17939,9465,9,62777,9
3807507,65133,28065,1,55232,0
3807508,5340,27519,15,45353,9
3807509,36349,21265,1,11099,11
3807510,52972,44051,3,47957,5
3807511,42244,23685,5,44619,11
3807512,16310,31813,5,58987,11
3807513,12688,26194,2,59079,7
3807514,42457,34484,4,47178,10
3807515,39928,18221,13,41787,11
3807516,29486,3872,0,14419,3
3807517,40530,11422,14,28709,5
3807518,63867,22665,9,20092,12
3807519,35548,10318,14,42013,13
3807520,33547,44614,6,59242,10
3807521,58181,55799,7,25173,5
3807522,9719,13199,15,24756,4
3807523,53114,43271,7,62665,9
3807524,52593,10888,8,26484,4
3807525,57204,17701,5,56632,8
3807526,63949,25245,13,64758,6
3807527,53558,51652,4,15931,11
3807528,52065,34177,1,27014,6
3807529,46194,45326,14,54188,12
3807530,16609,5120,0,32684,12
3807531,20961,35950,14,30213,5
3807532,29386,26403,3,57538,2
3807533,56158,8411,11,12528,0
3807534,55449,53561,9,49602,2
3807535,52479,39585,1,39804,12
3807536,59847,53086,14,44722,2
3807537,35844,55157,5,24173,13
3807538,12921,49561,9,5419,11
3807539,1855,54794,10,38943,15
3807540,26359,42459,11,11075,3
3807541,4397,9093,5,30158,14
3807542,38060,9248,0,54508,12
3807543,46092,44242,2,36773,5
3807544,49430,2602,10,47302,6
3807545,59936,19938,2,2669,13
3807546,469,63326,14,34416,0
3807547,28136,41913,9,19156,4
3807548,11613,57153,1,22860,12
3807549,59527,31242,10,32194,2
3807550,13568,9507,3,42113,1
3807551,4515,51410,2,63633,1
3807552,11813,219,11,36106,10
3807553,21617,48925,13,36193,1
3807554,61860,18513,1,46156,12
3807555,49029,36391,7,39131,11
3807556,48564,58203,11,46074,10
3807557,15328,60429,13,6686,14
3807558,29153,50067,3,10299,11
3807559,37951,36467,3,45424,0
3807560,1970,56712,8,9155,3
3807561,52637,46516,4,56596,4
3807562,28896,43905,1,1398,6
3807563,55242,49439,15,12309,5
3807564,17763,59810,2,1614,14
3807565,29400,40089,9,37025,1
3807566,57972,51589,5,57596,12
3807567,30231,24694,6,30593,1
3807568,12168,24114,2,46540,12
3807569,57210,40594,2,36518,6
3807570,53422,27864,8,16982,6
3807571,23747,58280,8,16918,6
3807572,32447,31641,9,27627,11
3807573,46817,5579,11,6013,13
3807574,18338,4936,8,32288,0
3807575,48980,16025,9,12383,15
3807576,12847,51752,8,49974,6
3807577,36668,64766,14,13595,11
3807578,56965,56979,3,20794,10
3807579,60591,26390,6,42011,11
3807580,62019,51007,15,305,1
3807581,44539,26134,6,17967,15
3807582,16373,3805,13,36072,8
3807583,8196,6295,7,10378,10
3807584,31326,35047,7,27490,2
3807585,13189,63119,15,63815,7
3807586,5471,34616,8,40144,0
3807587,39856,24081,1,48684,12
3807588,52225,19426,2,48406,6
3807589,17995,6790,6,39722,10
3807590,31064,28241,1,35517,13
3807591,31856,38067,3,53460,4
3807592,26681,39847,7,2738,2
3807593,48936,17924,4,13859,3
3807594,46357,39458,2,17695,15
3807595,33966,38444,12,54985,9
3807596,61648,8518,6,31824,0
3807597,23101,38031,15,24170,10
3807598,29949,38875,11,45305,9
3807599,22990,29644,12,26449,1
3807600,3986,32270,14,922,10
3807601,37374,59066,10,32061,13
3807602,24638,62433,1,15868,12
3807603,8101,62338,2,38342,6
3807604,47082,42171,11,63693,13
3807605,50976,50969,9,26971,11
3807606,38845,39778,2,53633,1
3807607,16413,55770,10,57012,4
3807608,46399,20111,15,54684,12
3807609,17254,14764,12,29208,8
3807610,53306,44369,1,58611,3
3807611,44170,4609,1,3988,4
3807612,40887,15661,13,32041,9
3807613,8169,8815,15,52342,6
3807614,18958,13362,2,35690,10
3807615,3177,3800,8,31851,11
3807616,30479,55196,12,18939,11
3807617,13768,45187,3,15328,0
3807618,45607,671,15,37926,6
3807619,64812,4710,6,41431,7
3807620,14463,11289,9,64240,0
3807621,64987,33084,12,60572,12
3807622,45738,23661,13,30047,15
3807623,62167,53953,1,43982,14
3807624,20915,59990,6,60937,9
3807625,1376,52071,7,32139,11
3807626,35271,24298,10,60002,2
3807627,60981,42455,7,36497,1
3807628,39322,23971,3,17329,1
3807629,42877,13335,7,56938,10
3807630,57873,30933,5,57978,10
3807631,26393,22472,8,55670,6
3807632,48384,24199,7,5231,15
3807633,3101,55800,8,6908,12
3807634,24968,51816,8,10130,2
3807635,28568,44164,4,17921,1
3807636,47675,1626,10,46427,11
3807637,65127,29590,6,50834,2
3807638,45138,29201,1,23344,0
3807639,23599,50546,2,10748,12
3807640,15981,2674,2,45629,13
3807641,29663,59618,2,42053,5
3807642,23496,61491,3,24758,6
3807643,19080,45681,1,33887,15
3807644,46156,58465,1,32911,15
3807645,10642,11589,5,11873,1
3807646,56331,3587,3,33288,8
3807647,49005,21266,2,51061,5
3807648,28700,39718,6,8769,1
3807649,62461,24008,8,31396,4
3807650,27091,35769,9,26311,7
3807651,6599,58604,12,50532,4
3807652,31075,44888,8,40891,11
3807653,6634,17809,1,60836,4
3807654,24279,29153,1,61847,7
3807655,43376,39232,0,16890,10
3807656,46611,29037,13,9051,11
3807657,4566,44312,8,54748,12
3807658,4444,13399,7,17161,9
3807659,11977,43458,2,56887,7
3807660,33639,31842,2,43693,13
3807661,10779,51993,9,1548,12
3807662,32835,20806,6,11245,13
3807663,55861,18037,5,38563,3
3807664,50049,12217,9,23385,9
3807665,30735,55676,12,33079,7
3807666,47474,49426,2,30915,3
3807667,38605,611,3,46900,4
3807668,16377,22866,2,5793,1
3807669,7422,64982,6,17921,1
3807670,49673,43119,15,38011,11
3807671,57443,29907,3,46750,14
3807672,32870,59805,13,62292,4
3807673,28217,43980,12,51052,12
3807674,23276,50827,11,60619,11
3807675,2408,35456,0,17136,0
3807676,12735,8891,11,37256,8
3807677,48529,35188,4,60774,6
3807678,51223,44866,2,42246,6
3807679,23793,41423,15,27191,7
3807680,27034,36389,5,34982,6
3807681,31376,50442,10,62947,3
3807682,14167,31405,13,48054,6
3807683,57868,56608,0,33443,3
3807684,58046,21590,6,9869,13
3807685,32101,37244,12,38996,4
3807686,46358,34816,0,55551,15
3807687,38689,20656,0,12809,9
3807688,49903,55912,8,43857,1
3807689,11571,23705,9,36061,13
3807690,30426,6521,9,31367,7
3807691,9392,32770,2,52871,7
3807692,23259,53451,11,19647,15
3807693,10519,63735,7,34271,15
3807694,47910,47777,1,35896,8
3807695,23158,51146,10,43512,8
3807696,58330,9273,9,15856,0
3807697,2293,45430,6,15229,13
3807698,21078,50524,12,55768,8
3807699,36269,42360,8,7993,9
3807700,62210,11590,6,63920,0
3807701,63478,41827,3,55893,5
3807702,7978,60721,1,21772,12
3807703,59786,10045,13,44300,12
3807704,3543,20535,7,45146,10
3807705,38388,22665,9,29068,12
3807706,24957,17892,4,28872,8
3807707,40122,65189,5,48749,13
3807708,3545,18223,15,18262,6
3807709,46404,39970,2,50769,1
3807710,63938,58253,13,29551,15
3807711,33834,5983,15,34459,11
3807712,1774,43203,3,36452,4
3807713,31177,5251,3,49279,15
3807714,5508,62475,11,49634,2
3807715,33829,2821,5,48907,11
3807716,60308,50447,15,40284,12
3807717,27574,16410,10,45287,7
3807718,46582,13720,8,52756,4
3807719,59607,24667,11,30520,8
3807720,38027,63147,11,38067,3
3807721,7554,14479,15,29672,8
3807722,11230,29298,2,50862,14
3807723,36919,41256,8,61103,15
3807724,56986,19648,0,7495,7
3807725,56236,43104,0,47363,3
3807726,47933,21299,3,38270,14
3807727,22526,12567,7,13219,3
3807728,10241,6257,1,47211,11
3807729,5618,58509,13,28551,7
3807730,4053,15600,0,53032,8
3807731,40340,43804,12,65153,1
3807732,34250,64012,12,61970,2
3807733,20449,30799,15,37174,6
3807734,42845,60141,13,982,6
3807735,42941,5325,13,12406,6
3807736,15478,18407,7,47722,10
3807737,28018,28133,5,32166,6
3807738,13322,31750,6,15016,8
3807739,54706,8010,10,50820,4
3807740,50398,50169,9,29222,6
3807741,57834,25549,13,7072,0
3807742,64949,50670,14,36370,2
3807743,3942,33559,7,7583,15
3807744,22318,55888,0,51903,15
3807745,40507,32723,3,26197,5
3807746,46377,2868,4,60938,10
3807747,34427,21052,12,44500,4
3807748,63937,52446,14,64207,15
3807749,56173,60344,8,7452,12
3807750,33739,3025,1,51360,0
3807751,40083,44533,5,45037,13
3807752,19494,9892,4,64815,15
3807753,28957,29996,12,39968,0
3807754,10863,31134,14,50884,4
3807755,3892,27030,6,10247,7
3807756,34631,39361,1,53009,1
3807757,19974,62205,13,60823,7
3807758,4349,84,4,64523,11
3807759,33642,26529,1,30368,0
3807760,64877,22116,4,19538,2
3807761,40588,50976,0,12355,3
3807762,65345,4270,14,49059,3
3807763,53093,57924,4,54869,5
3807764,35228,49263,15,40395,11
3807765,40722,7044,4,54869,5
3807766,32285,52087,7,27593,9
3807767,7614,43157,5,46954,10
3807768,15674,50457,9,64641,1
3807769,27475,46485,5,25623,7
3807770,63206,44157,13,29335,7
3807771,18165,5233,1,26141,13
3807772,36672,28803,3,26900,4
3807773,18700,54791,7,16838,6
3807774,46908,10536,8,30022,6
3807775,7134,19421,13,41541,5
3807776,10180,28774,6,39069,13
3807777,63014,48470,6,11124,4
3807778,47745,55916,12,35145,9
3807779,62611,63438,14,23461,5
3807780,46784,37481,9,15159,7
3807781,63887,7308,12,54303,15
3807782,45534,19162,10,24270,14
3807783,47190,19278,14,53698,2
3807784,10356,60063,15,53917,13
3807785,30346,13754,10,41299,3
3807786,64680,9542,6,33508,4
3807787,44122,28680,8,25548,12
3807788,14146,45105,1,18519,7
3807789,24312,8599,7,36845,13
3807790,24923,14824,8,27484,12
3807791,7207,748,12,53869,13
3807792,51117,43649,1,55769,9
3807793,24852,29161,9,16876,12
3807794,7303,45102,14,28747,11
3807795,63869,32261,5,39111,7
3807796,12707,21321,9,54546,2
3807797,15740,8467,3,20730,10
3807798,44622,45661,13,41173,5
3807799,31472,57339,11,25843,3
3807800,32369,62141,13,6131,3
3807801,9701,17883,11,34027,11
3807802,59805,1949,13,44565,5
3807803,707,48540,12,55303,7
3807804,55799,15541,5,35938,2
3807805,13601,62098,2,31893,5
3807806,8891,43588,4,62024,8
3807807,57532,41530,10,27949,13
3807808,65421,19990,6,16927,15
3807809,34576,26441,9,50615,7
3807810,7347,42319,15,43539,3
3807811,64183,15444,4,54519,7
3807812,50510,61859,3,53241,9
3807813,7375,53020,12,61825,1
3807814,40261,38168,8,41773,13
3807815,57646,15694,14,3143,7
3807816,34077,62575,15,50700,12
3807817,40848,56670,14,13307,11
3807818,58588,54242,2,43020,12
3807819,26639,40197,5,65079,7
3807820,46731,20891,11,60603,11
3807821,17626,30937,9,25410,2
3807822,19119,29692,12,26646,6
3807823,59079,2413,13,13888,0
3807824,24062,39399,7,22481,1
3807825,1281,40235,11,50078,14
3807826,26709,13435,11,2317,13
3807827,45701,47375,15,46582,6
3807828,8672,12022,6,65023,15
3807829,16395,56093,13,56727,7
3807830,44812,17674,10,64559,15
3807831,39688,22538,10,41654,6
3807832,1462,46752,0,38351,15
3807833,2851,27669,5,52061,13
3807834,12457,2556,12,7956,4
3807835,12958,33682,2,12756,4
3807836,26237,32678,6,56227,3
3807837,34867,53279,15,31238,6
3807838,37807,32495,15,47685,5
3807839,1939,6599,7,35918,14
3807840,9681,22689,1,44066,2
3807841,33583,47152,0,8956,12
3807842,13,50761,9,1109,5
3807843,48260,11302,6,488,8
3807844,15347,52158,14,64955,11
3807845,59870,20733,13,26909,13
3807846,42279,24024,8,41438,14
3807847,42770,65032,8,55110,6
3807848,40270,756,4,421,5
3807849,50877,40864,0,38994,2
3807850,808,48340,4,13607,7
3807851,49844,44900,4,22758,6
3807852,4812,57104,0,32999,7
3807853,29570,37401,9,24560,0
3807854,23425,24036,4,29345,1
3807855,37935,13569,1,47353,9
3807856,1431,25769,9,40355,3
3807857,18660,61582,14,38312,8
3807858,37612,28643,3,2569,9
3807859,32640,9412,4,36489,9
3807860,42357,9087,15,25076,4
3807861,1701,6298,10,33632,0
3807862,33100,40591,15,5521,1
3807863,32494,29842,2,48344,8
3807864,37924,65266,2,6939,11
3807865,46771,62550,6,7401,9
3807866,22207,17792,0,59282,2
3807867,60077,8550,6,23433,9
3807868,52056,45638,6,15104,0
3807869,63438,53976,8,39169,1
3807870,55246,7661,13,11028,4
3807871,24855,14847,15,5472,0
3807872,44992,15027,3,50694,6
3807873,36149,41796,4,62076,12
3807874,3564,30211,3,13630,14
3807875,49349,17933,13,17254,6
3807876,58410,54404,4,37264,0
3807877,40147,59844,4,29030,6
3807878,41552,17191,7,4309,5
3807879,58645,12153,9,39859,3
3807880,14523,63306,10,16763,11
3807881,58136,35118,14,47792,0
3807882,52620,5686,6,55325,13
3807883,23979,45869,13,49798,6
3807884,54879,19390,14,50725,5
3807885,33092,34981,5,2086,6
3807886,50091,47635,3,39898,10
3807887,13493,17390,14,11026,2
3807888,11688,11465,9,41175,7
3807889,40275,21961,9,25944,8
3807890,7829,11699,3,12513,1
3807891,47822,28263,7,21053,13
3807892,33626,27287,7,16061,13
3807893,48361,17025,1,31031,7
3807894,35828,49674,10,16497,1
3807895,17198,4762,10,3108,4
3807896,34126,21976,8,16837,5
3807897,15031,19282,2,53261,13
3807898,30375,63634,2,7122,2
3807899,65017,55274,10,17194,10
3807900,26525,26315,11,42781,13
3807901,64682,64253,13,30825,9
3807902,44425,61622,6,8687,15
3807903,27791,14748,12,6282,10
3807904,13519,28746,10,41045,5
3807905,48566,5582,14,26376,8
3807906,14581,63954,2,53314,2
3807907,5000,51503,15,25610,10
3807908,23162,60084,4,25707,11
3807909,46829,53599,15,49732,4
3807910,1944,60269,13,8650,10
3807911,57973,28935,7,34525,13
3807912,24157,16657,1,45510,6
3807913,36133,52253,13,9998,14
3807914,63030,58445,13,19766,6
3807915,32927,54484,4,64660,4
3807916,16347,58634,10,26701,13
3807917,13326,36578,2,63100,12
3807918,17192,7272,8,7896,8
3807919,8265,28598,6,52574,14
3807920,45792,63855,15,50444,12
3807921,28105,38843,11,5442,2
3807922,64242,46079,15,28726,6
3807923,3246,42878,14,5426,2
3807924,28419,65417,9,62187,11
3807925,52937,48122,10,13975,7
3807926,61135,27705,9,59622,6
3807927,18920,48557,13,4300,12
3807928,41565,10255,15,38954,10
3807929,1134,24510,14,23350,6
3807930,41555,21763,3,9172,4
3807931,1167,59930,10,58906,10
3807932,5108,9371,11,48826,10
3807933,25332,50199,7,10066,2
3807934,1696,53346,2,38460,12
3807935,37707,44150,6,50478,14
3807936,21999,30024,8,34947,3
3807937,54719,3751,7,33362,2
3807938,27704,50514,2,23461,5
3807939,48175,35142,6,2931,3
3807940,31093,40425,9,14858,10
3807941,57006,17208,8,44655,15
3807942,37584,32030,14,13133,13
3807943,14838,55675,11,36720,0
3807944,12987,40644,4,63406,14
3807945,42366,47360,0,14865,1
3807946,44673,2325,5,5130,10
3807947,28235,63553,1,11684,4
3807948,54402,1285,5,43449,9
3807949,51989,60928,0,37344,0
3807950,61825,49209,9,52565,5
3807951,28197,46743,7,21071,15
3807952,40778,28592,0,25172,4
3807953,18937,28102,6,40406,6
3807954,63131,31934,14,61546,10
3807955,7484,26941,13,49136,0
3807956,34816,23525,5,3028,4
3807957,6042,17506,2,60033,1
3807958,61857,31472,0,23445,5
3807959,40077,39783,7,61351,7
3807960,23153,12872,8,57007,15
3807961,57540,28302,14,8701,13
3807962,53562,50865,1,31971,3
3807963,10812,46283,11,22770,2
3807964,62720,22970,10,61962,10
3807965,52390,53165,13,59398,6
3807966,42636,22172,12,5867,11
3807967,11178,37838,14,29845,5
3807968,30072,53167,15,58616,8
3807969,64476,54736,0,8034,2
3807970,24974,61049,9,22646,6
3807971,41425,16181,5,26238,14
3807972,39307,45384,8,45610,10
3807973,11017,19423,15,15512,8
3807974,12088,20751,15,3513,9
3807975,64768,18837,5,38582,6
3807976,33156,33066,10,53280,0
3807977,1011,17066,10,948,4
3807978,47609,25683,3,26213,5
3807979,30850,28034,2,34434,2
3807980,11928,34717,13,13185,1
3807981,20676,7303,7,49669,5
3807982,5843,23927,7,30409,9
3807983,12744,1708,12,46155,11
3807984,8997,50781,13,26084,4
3807985,30697,4497,1,47576,8
3807986,7132,27653,5,34741,5
3807987,1471,55468,12,41222,6
3807988,38891,31651,3,31901,13
3807989,61269,15533,13,13910,6
3807990,51786,46608,0,26572,12
3807991,19329,10927,15,62800,0
3807992,60563,38583,7,22716,12
3807993,1176,91,11,20940,12
3807994,14975,65076,4,25729,1
3807995,4784,4383,15,55639,7
3807996,49796,866,2,62615,7
3807997,52935,35841,1,3069,13
3807998,10632,30978,2,60683,11
3807999,59469,4981,5,43331,3
3808000,21134,16585,9,64058,10
3808001,12123,15440,0,54525,13
3808002,31093,45388,12,63700,4
3808003,44447,44279,7,36849,1
3808004,63603,37306,10,10093,13
3808005,24705,61195,11,20497,1
3808006,44574,31747,3,13394,2
3808007,48299,57430,6,10489,9
3808008,34542,61506,2,27693,13
3808009,36212,45090,2,30007,7
3808010,35082,41330,2,17808,0
3808011,41889,45921,1,63899,11
3808012,4423,27428,4,36574,14
3808013,31457,43847,7,26775,7
3808014,34664,56352,0,6369,1
3808015,58790,34196,4,45581,13
3808016,30618,48708,4,39787,11
3808017,34036,55189,5,41926,6
3808018,40179,21432,8,31369,9
3808019,50408,65390,14,49750,6
3808020,60538,17270,6,56076,12
3808021,596,47766,6,8949,5
3808022,43840,6708,4,42794,10
3808023,18063,43707,11,62234,10
3808024,42934,9182,14,13838,14
3808025,31963,23697,1,15096,8
3808026,14145,41538,2,20137,9
3808027,31224,28602,10,32863,15
3808028,42633,36245,5,26029,13
3808029,18947,43028,4,14660,4
3808030,20801,32919,7,45524,4
3808031,26454,25048,8,22974,14
3808032,24906,41897,9,35958,6
3808033,19781,28726,6,35911,7
3808034,20548,41574,6,18165,5
3808035,63969,52333,13,5220,4
3808036,28288,41295,15,61003,11
3808037,63795,42672,0,11717,5
3808038,45940,356,4,46852,4
3808039,62196,5313,1,4302,14
3808040,32772,31759,15,63719,7
3808041,19058,47534,14,24691,3
3808042,45144,61308,12,38909,13
3808043,15903,4972,12,18625,1
3808044,41524,37613,13,18789,5
3808045,17274,6528,0,37797,5
3808046,6145,8804,4,38059,11
3808047,37699,29582,14,62548,4
3808048,57789,18837,5,25097,9
3808049,12227,64460,12,62795,11
3808050,47013,18989,13,4133,5
3808051,5964,10766,14,18574,14
3808052,83,8376,8,51082,10
3808053,3023,13165,13,56447,15
3808054,40137,24288,0,46163,3
3808055,26981,48082,2,40526,14
3808056,19229,63710,14,56723,3
3808057,58828,48558,14,45433,9
3808058,6514,47944,8,5740,12
3808059,54477,25797,5,2350,14
3808060,61704,11668,4,20651,11
3808061,51050,42191,15,51175,7
3808062,59541,43508,4,38348,12
3808063,52930,17169,1,56493,13
3808064,21575,25241,9,52190,14
3808065,11109,36082,2,57355,11
3808066,55668,43217,1,53573,5
3808067,29171,3982,14,6041,9
3808068,39753,65085,13,38560,0
3808069,53564,4849,1,31756,12
3808070,64711,40689,1,52720,0
3808071,26349,42758,6,19420,12
3808072,53512,46239,15,64791,7
3808073,3398,47559,7,269,13
3808074,44042,62452,4,63746,2
3808075,22730,47624,8,40863,15
3808076,14539,8149,5,35528,8
3808077,10273,9138,2,27690,10
3808078,30532,19823,15,15295,15
3808079,6160,14744,8,4285,13
3808080,44232,6185,9,48671,15
3808081,315,56117,5,25490,2
3808082,31312,17574,6,150,6
3808083,56608,58771,3,18261,5
3808084,18939,11449,9,43109,5
3808085,27912,56473,9,46620,12
3808086,32901,20501,5,18127,15
3808087,33650,35197,13,46014,14
3808088,4466,65245,13,59796,4
3808089,30388,6646,6,5791,15
3808090,37342,32923,11,61432,8
3808091,50543,7060,4,64214,6
3808092,64312,40564,4,14692,4
3808093,9269,7347,3,20146,2
3808094,63651,57098,10,44673,1
3808095,36635,35995,11,31083,11
3808096,25489,36902,6,59194,10
3808097,47951,46027,11,12373,5
3808098,28271,33977,9,19683,3
3808099,59385,45200,0,19490,2
3808100,1314,27157,5,37756,12
3808101,30549,27542,6,54558,14
